"","ccp_res"
"DHH00001Zm00004b05606",3
"DHH00001Zm00004b05626",1
"DHH00001Zm00004b05638",1
"DHH00001Zm00004b05641",1
"DHH00001Zm00004b05663",3
"DHH00001Zm00004b05675",1
"DHH00001Zm00004b05678",4
"DHH00001Zm00004b05684",1
"DHH00001Zm00004b05687",1
"DHH00001Zm00004b05715",1
"DHH00001Zm00004b05731",2
"DHH00001Zm00004b05732",1
"DHH00001Zm00004b05738",5
"DHH00001Zm00004b05801",1
"DHH00001Zm00004b05857",1
"DHH00001Zm00004b05889",1
"DHH00001Zm00004b05894",1
"DHH00001Zm00004b05895",1
"DHH00001Zm00004b05918",1
"DHH00001Zm00004b05942",1
"DHH00001Zm00004b06010",1
"DHH00001Zm00004b06031",3
"DHH00001Zm00004b06056",1
"DHH00001Zm00004b06057",1
"DHH00001Zm00004b06084",4
"DHH00001Zm00004b06087",1
"DHH00001Zm00004b06089",4
"DHH00001Zm00004b06101",4
"DHH00001Zm00004b06123",3
"DHH00001Zm00004b06142",1
"DHH00001Zm00004b06146",3
"DHH00001Zm00004b06194",3
"DHH00001Zm00004b06195",1
"DHH00001Zm00004b06196",1
"DHH00001Zm00004b06209",4
"DHH00001Zm00004b06252",1
"DHH00001Zm00004b06303",4
"DHH00001Zm00004b06314",1
"DHH00001Zm00004b06326",1
"DHH00001Zm00004b06365",4
"DHH00001Zm00004b06383",1
"DHH00001Zm00004b06405",4
"DHH00001Zm00004b06481",4
"DHH00001Zm00004b06536",1
"DHH00001Zm00004b06546",1
"DHH00001Zm00004b06547",1
"DHH00001Zm00004b06582",1
"DHH00001Zm00004b06607",1
"DHH00001Zm00004b06616",1
"DHH00001Zm00004b06628",1
"DHH00001Zm00004b06665",2
"DHH00001Zm00004b06683",1
"DHH00001Zm00004b06702",2
"DHH00001Zm00004b06720",1
"DHH00001Zm00004b06739",1
"DHH00001Zm00004b06745",1
"DHH00001Zm00004b06748",1
"DHH00001Zm00004b06757",1
"DHH00001Zm00004b06780",1
"DHH00001Zm00004b06789",1
"DHH00001Zm00004b06792",4
"DHH00001Zm00004b06827",2
"DHH00001Zm00004b06832",1
"DHH00001Zm00004b06837",3
"DHH00001Zm00004b06884",1
"DHH00001Zm00004b06888",1
"DHH00001Zm00004b06900",5
"DHH00001Zm00004b06902",2
"DHH00001Zm00004b06942",1
"DHH00001Zm00004b06948",2
"DHH00001Zm00004b06956",1
"DHH00001Zm00004b06968",1
"DHH00001Zm00004b06973",2
"DHH00001Zm00004b07003",1
"DHH00001Zm00004b07004",1
"DHH00001Zm00004b07011",2
"DHH00001Zm00004b07026",1
"DHH00001Zm00004b07034",2
"DHH00001Zm00004b07037",1
"DHH00001Zm00004b07059",3
"DHH00001Zm00004b07063",4
"DHH00001Zm00004b07121",3
"DHH00001Zm00004b07126",1
