Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	threshold
RLC00002zmB00476	20.870668395305536	-0.22577114987144806	0.41299618512983877	-0.5466664293774761	0.5846079218046322	0.7954938844647507	FALSE
RLG00006Zm00004bS0289	1.8290642966300374	-0.6672014604369548	1.220488647175814	-0.5466674859949295	0.584607195757982	0.7954938844647507	FALSE
DHH01564Zm00004b00001	110.26416927820682	0.1095168825157198	0.20048844435795157	0.5462503480758653	0.5848938615004267	0.7957694197842872	FALSE
RLX16183Zm00004b00001	148.42734563746254	0.11742528123140787	0.2152695005653388	0.5454803440479337	0.5854231956461662	0.796375976274157	FALSE
DHH00002Zm00004b06006	39.035359948968576	0.13665075915634556	0.25082612035850116	0.544802746065813	0.5858891898272903	0.7968962079864556	FALSE
RLC00013Zm00004b00260	2.244712776069182	0.5486902754522471	1.0078612238782987	0.5444105422975402	0.5861589928011461	0.7971494802270007	FALSE
DTA00217Zm00004b00044	4.758849453684403	0.3485742285038245	0.6405696449456026	0.544162888850947	0.5863293870745956	0.7972675082194985	FALSE
RLX33770Zm00004b00001	1.3972108772317433	0.6620827193252244	1.2176138912225714	0.5437542427020491	0.5866106001905853	0.7975361681518993	FALSE
RLG01547Zm00004b00001	3.0344098815825586	0.43655910580965834	0.8035888767822503	0.5432617578751696	0.5869495906008979	0.79788329236923194	FALSE
DHH00002Zm00004b09306	2.230872738060648	0.5574135262411223	1.0263674807839662	0.5430935183325911	0.5870654151439091	0.7979269952697146	FALSE
DHH00002Zm00004b00902	1.795490535445517	0.5206514595548364	0.9600644946253273	0.5423088370308129	0.5876057688819178	0.7984338290193743	FALSE
RLC00002Zm00004b12139	2.4996538162944146	-0.47895770779497554	0.883140972359506	-0.5423343755814367	0.5875881786914877	0.7984338290193743	FALSE
DTH00051Zm00004b00024	3.6522557617517397	0.39405035527051824	0.7272786556352155	0.5418148218942972	0.5879460796704925	0.7987824213902004	FALSE
DHH00002Zm00004b05347	3.116063914380573	0.45740023583604367	0.844490740772502	0.5416284794521662	0.5880744685193582	0.7988430387180341	FALSE
DHH00001Zm00004b08778	5.78298756352425	-0.310663115034127	0.5743796084235667	-0.5408672426355249	0.588599090783929	0.7991003601531246	FALSE
DHH00002Zm00004b03407	1.549380822457428	-0.6447355490271581	1.1912945746263055	-0.5412058132048522	0.5883657311098477	0.7991003601531246	FALSE
RLG00028Zm00004b00275	1.61460058656147	0.502760886127898	0.9293871325711235	0.5409595942403723	0.5885354332254658	0.7991003601531246	FALSE
RLX08238Zm00004b00001	14.087593387587821	-0.2407164859642741	0.44486051765914697	-0.5411055295060183	0.5884348471666582	0.7991003601531246	FALSE
DHH00001Zm00004b07646	353.0494399168296	-0.08372089355411343	0.1549083087419794	-0.5404545065014029	0.5888836268569657	0.7992590756772026	FALSE
RLG00009Zm00004b01115	2.184065081319691	0.4657462079434696	0.8616285026859273	0.5405417839493629	0.5888234533828414	0.7992590756772026	FALSE
RLC18886Zm00004b00001	5.159975971356771	-0.34177164739798893	0.6329704748612186	-0.5399487985169036	0.5892323433056741	0.7993808449197378	FALSE
RLG00001Zm00004b01539	1.2867051168670083	-0.6914747541091945	1.281188946996619	-0.5397133309104479	0.5893947450564474	0.7993808449197378	FALSE
RLG00007Zm00004b00487	2.2517484984641993	0.4524215894023135	0.8384282087861086	0.539606831761228	0.5894682041823893	0.7993808449197378	FALSE
RLG00017Zm00004b00314	2.0794602646797946	0.5182350945950919	0.959727808777413	0.5399813258045174	0.5892099108938584	0.7993808449197378	FALSE
RLG00020Zm00004b00418	2.308012392333267	-0.6634232929121129	1.2294835861013758	-0.5395950791143063	0.5894763109768872	0.7993808449197378	FALSE
RLX16191Zm00004b00001	27.047006517428418	-0.18245131375140067	0.33804607048159646	-0.5397232202447195	0.5893879239781401	0.7993808449197378	FALSE
DHH04530Zm00004b00001	4546.232015254592	-0.11880630027276846	0.22027591107020353	-0.5393522137557022	0.5896438472607658	0.7994943448711307	FALSE
DHH00002Zm00004b05482	151.5010494751354	-0.0843863911425157	0.1565790302381118	-0.5389380111384533	0.5899296280894868	0.7997397353061166	FALSE
RLC00064Zm00004b00003	10.483530426755278	-0.2465024143237232	0.45746287797456076	-0.5388468140084386	0.5899925585023627	0.7997397353061166	FALSE
DHH00002Zm00004b08694	6.143385533365245	-0.31036361055067757	0.5764475086431121	-0.5384074107306597	0.5902958112711457	0.8000213259214561	FALSE
